UID          PID    PPID  C STIME TTY          TIME CMD
root         435       2  0 19:28 ?        00:00:00 [card0-crtc5]
root         436       2  0 19:28 ?        00:00:00 [card0-crtc6]
root         437       2  0 19:28 ?        00:00:00 [card0-crtc7]
root         544       2  0 19:28 ?        00:00:00 [kworker/u257:2-hci0]
systemd+     548       1  0 19:28 ?        00:00:01 /lib/systemd/systemd-oomd
systemd+     550       1  0 19:28 ?        00:00:00 /lib/systemd/systemd-resolved
systemd+     557       1  0 19:28 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         566       1  0 19:28 ?        00:00:00 /usr/bin/VGAuthService
root         568       1  0 19:28 ?        00:00:02 /usr/bin/vmtoolsd
root         581       2  0 19:28 ?        00:00:00 [cryptd]
root         676       1  0 19:28 ?        00:00:00 /usr/libexec/accounts-daemon
root         677       1  0 19:28 ?        00:00:00 /usr/sbin/acpid
avahi        684       1  0 19:28 ?        00:00:00 avahi-daemon: running [sokp-virtual-machine.local]
root         686       1  0 19:28 ?        00:00:00 /usr/lib/bluetooth/bluetoothd
root         690       2  0 19:28 ?        00:00:00 [kworker/2:3-events]
root         691       1  0 19:28 ?        00:00:00 /usr/sbin/cron -f -P
message+     693       1  0 19:28 ?        00:00:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         697       1  0 19:28 ?        00:00:01 /usr/sbin/NetworkManager --no-daemon
root         708       1  0 19:28 ?        00:00:00 /usr/sbin/irqbalance --foreground
root         712       1  0 19:28 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         713       1  0 19:28 ?        00:00:00 /usr/libexec/polkitd --no-debug
root         719       1  0 19:28 ?        00:00:00 /usr/libexec/power-profiles-daemon
syslog       722       1  0 19:28 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         730       1  0 19:28 ?        00:00:00 /usr/libexec/switcheroo-control
root         732       1  0 19:28 ?        00:00:00 /lib/systemd/systemd-logind
root         738       1  0 19:28 ?        00:00:00 /usr/libexec/udisks2/udisksd
root         741       1  0 19:28 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
root         758       1  0 19:28 ?        00:00:00 /usr/sbin/ModemManager
avahi        762     684  0 19:28 ?        00:00:00 avahi-daemon: chroot helper
root         810       1  0 19:28 ?        00:00:00 /usr/sbin/cupsd -l
root         845       1  0 19:28 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         855       1  0 19:28 ?        00:00:00 /usr/sbin/gdm3
root         954     855  0 19:28 ?        00:00:00 gdm-session-worker [pam/gdm-autologin]
sokp        1009       1  0 19:28 ?        00:00:00 /lib/systemd/systemd --user
sokp        1013    1009  0 19:28 ?        00:00:00 (sd-pam)
sokp        1019    1009  0 19:28 ?        00:00:00 /usr/bin/pipewire
sokp        1020    1009  0 19:28 ?        00:00:00 /usr/bin/pipewire-media-session
sokp        1021    1009  0 19:28 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
sokp        1027       1  0 19:28 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
rtkit       1030       1  0 19:28 ?        00:00:00 /usr/libexec/rtkit-daemon
sokp        1038     954  0 19:28 tty2     00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
sokp        1042    1009  0 19:28 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
sokp        1056    1038  0 19:28 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
sokp        1057    1009  0 19:28 ?        00:00:00 /usr/libexec/gvfsd
sokp        1072    1009  0 19:28 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
sokp        1108    1009  0 19:28 ?        00:00:00 /usr/libexec/xdg-document-portal
sokp        1111    1009  0 19:28 ?        00:00:00 /usr/libexec/xdg-permission-store
root        1124    1108  0 19:28 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
root        1132       2  0 19:28 ?        00:00:00 [krfcommd]
sokp        1141    1009  0 19:28 ?        00:00:01 /usr/libexec/tracker-miner-fs-3
sokp        1156    1009  0 19:28 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
sokp        1170    1009  0 19:28 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
sokp        1178    1009  0 19:28 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
sokp        1191    1009  3 19:28 ?        00:00:34 /usr/bin/gnome-shell
sokp        1195    1009  0 19:28 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
sokp        1196    1170  0 19:28 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
sokp        1200    1009  0 19:28 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
sokp        1208    1196  0 19:28 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
sokp        1210    1009  0 19:28 ?        00:00:00 /usr/libexec/goa-daemon
root        1216       1  0 19:28 ?        00:00:00 /usr/sbin/cups-browsed
kernoops    1222       1  0 19:28 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops    1225       1  0 19:28 ?        00:00:00 /usr/sbin/kerneloops
sokp        1258    1009  0 19:28 ?        00:00:00 /usr/libexec/goa-identity-service
sokp        1275    1009  0 19:28 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
sokp        1296    1009  0 19:28 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
root        1301       1  0 19:28 ?        00:00:00 /usr/libexec/upowerd
sokp        1389    1009  0 19:28 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
sokp        1409    1009  0 19:28 ?        00:00:00 /usr/libexec/evolution-source-registry
sokp        1434    1009  0 19:28 ?        00:00:00 /usr/libexec/xdg-desktop-portal
sokp        1439    1009  0 19:28 ?        00:00:00 /usr/libexec/evolution-calendar-factory
sokp        1441    1009  0 19:28 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
root        1468       1  0 19:28 ?        00:00:00 /usr/libexec/packagekitd
sokp        1479    1009  0 19:28 ?        00:00:00 /usr/libexec/dconf-service
sokp        1485    1009  0 19:28 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
sokp        1499    1057  0 19:28 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
sokp        1509    1009  0 19:28 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
sokp        1510    1009  0 19:28 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
sokp        1517    1009  0 19:28 ?        00:00:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
sokp        1522    1517  0 19:28 ?        00:00:03 /usr/bin/ibus-daemon --panel disable
sokp        1525    1009  0 19:28 ?        00:00:00 /usr/libexec/gsd-a11y-settings
sokp        1531    1009  0 19:28 ?        00:00:00 /usr/libexec/gsd-color
sokp        1535    1009  0 19:28 ?        00:00:00 /usr/libexec/gsd-datetime
sokp        1538    1009  0 19:28 ?        00:00:00 /usr/libexec/gsd-housekeeping
sokp        1541    1009  0 19:28 ?        00:00:00 /usr/libexec/gsd-keyboard
sokp        1542    1009  0 19:28 ?        00:00:02 /usr/bin/vmtoolsd -n vmusr --blockFd 3 --uinputFd 4
sokp        1558    1009  0 19:28 ?        00:00:00 /usr/libexec/gsd-media-keys
sokp        1559    1170  0 19:28 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
sokp        1561    1009  0 19:28 ?        00:00:00 /usr/libexec/gsd-power
sokp        1564    1009  0 19:28 ?        00:00:00 /usr/libexec/gsd-print-notifications
sokp        1568    1009  0 19:28 ?        00:00:00 /usr/libexec/gsd-rfkill
sokp        1569    1170  0 19:28 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
sokp        1581    1522  0 19:28 ?        00:00:00 /usr/libexec/ibus-memconf
sokp        1583    1522  0 19:28 ?        00:00:01 /usr/libexec/ibus-extension-gtk3
sokp        1584    1009  0 19:28 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
sokp        1588    1009  0 19:28 ?        00:00:00 /usr/libexec/gsd-sharing
sokp        1590    1009  0 19:28 ?        00:00:00 /usr/libexec/ibus-portal
sokp        1601    1009  0 19:28 ?        00:00:00 /usr/libexec/gsd-smartcard
sokp        1609    1009  0 19:28 ?        00:00:00 /usr/libexec/gsd-sound
sokp        1612    1009  0 19:28 ?        00:00:00 /usr/libexec/gsd-wacom
sokp        1644    1009  0 19:28 ?        00:00:00 /usr/libexec/gsd-printer
sokp        1683    1191  0 19:28 ?        00:00:01 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.3KSKY1 -listen 4 -listen 5 -displayfd 6 -initfd 7
sokp        1685    1009  0 19:28 ?        00:00:00 /usr/libexec/gvfsd-metadata
sokp        1688    1522  0 19:28 ?        00:00:01 /usr/libexec/ibus-engine-simple
colord      1699       1  0 19:28 ?        00:00:00 /usr/libexec/colord
sokp        1740    1009  0 19:28 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
sokp        1741    1009  0 19:28 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
sokp        1770    1009  0 19:28 ?        00:00:00 /usr/libexec/gsd-xsettings
sokp        1772    1191  0 19:28 ?        00:00:01 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:800:600:1:27:0:74:0:0
sokp        1822    1009  0 19:28 ?        00:00:00 /usr/libexec/ibus-x11
sokp        1854    1009  0 19:28 ?        00:00:07 /usr/libexec/gnome-terminal-server
sokp        1872    1854  0 19:28 pts/0    00:00:00 bash
sokp        1900    1170  0 19:29 ?        00:00:00 update-notifier
sokp        2005    1057  0 19:32 ?        00:00:00 /usr/libexec/gvfsd-network --spawner :1.3 /org/gtk/gvfs/exec_spaw/1
sokp        2032    1057  0 19:32 ?        00:00:00 /usr/libexec/gvfsd-dnssd --spawner :1.3 /org/gtk/gvfs/exec_spaw/3
root        2054       2  0 19:34 ?        00:00:00 [kworker/1:0-cgroup_destroy]
root        2118       2  0 19:34 ?        00:00:00 [kworker/u256:0-events_unbound]
root        2148       2  0 19:34 ?        00:00:00 [kworker/u256:1-ext4-rsv-conversion]
root        2173       1  7 19:34 ?        00:00:45 /usr/lib/snapd/snapd
root        2318       2  0 19:34 ?        00:00:00 [kworker/0:0-cgroup_destroy]
root        2666       2  0 19:34 ?        00:00:00 [kworker/3:0-events]
root        2807       2  0 19:37 ?        00:00:00 [kworker/2:0-cgwb_release]
sokp        2988    1009  0 19:37 ?        00:00:00 /snap/snapd-desktop-integration/49/usr/bin/snapd-desktop-integration
sokp        3156    2988  0 19:37 ?        00:00:00 /snap/snapd-desktop-integration/49/usr/bin/snapd-desktop-integration
root        3393       2  0 19:40 ?        00:00:00 [kworker/0:1-mpt_poll_0]
root        3412       2  0 19:40 ?        00:00:00 [kworker/3:1-events]
root        3415       2  0 19:40 ?        00:00:00 [kworker/1:2-events]
sokp        3456    1027  0 19:41 ?        00:00:00 /usr/bin/ssh-agent -D -a /run/user/1000/keyring/.ssh
root        3477       2  0 19:41 ?        00:00:00 [kworker/2:1-events]
sokp        3729    1872  0 19:44 pts/0    00:00:00 ps -ef
